,Country Name,Year,GDP (current US$),Military expenditure (% of GDP),GDP per capita (current US$),"Population, total","Current health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),"Government expenditure on education, total (% of GDP)",Military expenditure (current US$),Education expenditure (current US$),Health expenditure (current US$),Military expenditure per capita,Education expenditure per capita,Health expenditure per capita
10,Italy,2011,2291991045770.294,1.48613565534828,38599.06220703217,59379449,3211.9560546875,8.8346429169178,4.14407,3406209614858.2256,9498171333045.303,20248922458153.547,57363.44260887678,159957.2157202958,341008.93152702623
11,Japan,2011,6157459594823.717,0.9868062925244481,48167.99726849653,127833000,3778.22509765625,10.6167174875736,3.66538,6076219874137.082,22569429249674.953,65372008959392.81,47532.4828028528,176554.0138280018,511386.0189418445
12,"Korea, Rep.",2011,1253223044718.987,2.57734596651412,25096.263883823878,49936638,1973.18786621094,6.29425421357155,4.59437,3229989359449.026,5757770359965.572,7888104429767.451,64681.75449554746,115301.5218999239,157962.26469566196
13,Mexico,2011,1180489601957.612,0.548195293608094,10203.420854311318,115695473,914.996948242188,5.70114143192768,5.10565,647138843946.4552,6027166736234.882,6730138179680.357,5593.467291036142,52095.09568481458,58171.14537990918
14,Russian Federation,2011,2045925608274.3691,3.42344793265044,14311.0843159612,142960908,1159.92749023438,4.79797385632992,3.78973,7004119794003.482,7753505655445.625,9816297580496.312,48993.25201546343,54235.145564727565,68664.2084037149
15,Saudi Arabia,2011,671238840106.6666,7.23005332410004,23745.801614340424,28267685,1801.12939453125,3.71177718043327,,4853092607178.261,,2491489009328.422,171683.4118951821,,88139.1245632043
16,South Africa,2011,416418874936.30444,1.1032576755513799,8007.412846344413,52004172,908.580261230469,7.49731510877609,5.96275,459417320017.948,2483001646526.449,3122023522639.496,8834.239684038195,47746.20094954015,60034.09731510572
17,Turkey,2011,832523680895.5223,2.0785432760940097,11335.510509510132,73443863,921.687194824219,4.68792170286179,,1730436499114.4229,,3902805831816.503,23561.349150635266,,53139.98573055046
18,United Kingdom,2011,2659310054646.231,2.28739421092508,42038.57225019299,63258810,3095.67895507813,8.37611109018326,5.6462,6082890424052.646,15014996430543.55,22274676440958.145,96158.78680064715,237358.1866390397,352119.7512403117
19,United States,2011,15542581104000.0,4.57670425313993,49886.81810949226,311556874,8169.90771484375,16.3762927055359,4.93105,71133797043449.11,76641244552879.2,254529857558635.3,228317.21261733133,245994.39443881184,816961.1355088744
20,European Union,2012,14636155637903.785,1.4984380864244142,33158.79140885192,441395932,3371.177646086203,,4.87256,21931373046670.45,71315546515024.47,,49686.39594682637,161568.2006671155,
21,Argentina,2012,545982375701.128,0.784824721019786,13082.664325571988,41733271,1657.03381347656,8.45703780651093,5.34583,428500465691.3577,2918728963494.3613,4617393592993.095,10267.598379512541,69937.6994315725,110640.58681125414
22,Australia,2012,1546151783872.9639,1.6799173576200401,68012.14790059341,22733465,3792.08935546875,8.67569968104362,4.869,2597407219243.381,7528213035677.461,13413948538191.695,114254.78778722826,331151.1481279893,590052.9698482697
23,Brazil,2012,2465188674415.032,1.37865646470437,12370.024200714892,199287296,1192.02758789063,7.73530080914497,5.8551,3398648302698.2803,14433926207567.455,19068975947897.617,17054.013832865094,72427.72869760577,95685.85820893278
24,Canada,2012,1828689329348.994,1.12109997322812,52678.39012347717,34714222,4342.3662109375,10.347892343998,5.27444,2050143558175.7056,9645312146291.508,18923080310721.29,59057.74175713071,277849.0080028729,545110.3098528692
25,China,2012,8532230724141.756,1.83645175975595,6316.918863356832,1350695000,508.164855957031,4.54939901828766,,15669030127993.91,,38816522080214.31,11600.716762847209,,28738.18447555837
26,France,2012,2683825225092.6284,2.2369260112485403,40874.703505345686,65659809,4288.57421875,11.3154701888561,,6003518455654.669,,30368744326635.65,91433.68747317966,,462516.4889930711
27,Germany,2012,3527344944139.8257,1.3112614474342499,43858.363055107635,80425823,4700.58935546875,10.7769027352333,4.93331,4625271437052.671,17401486086374.441,38013853376611.836,57509.78062173726,216366.901043393,472657.3127714445
28,India,2012,1827637859135.6963,2.53734660363375,1443.8795293904227,1265782790,163.808929443359,3.32935303449631,3.8675,4637350714550.417,7068389420207.306,6084851652273.7705,3663.6228199550865,5584.20407991746,4807.184692623108
29,Indonesia,2012,917869910105.7491,0.711549473406383,3694.3489460323703,248452413,273.699645996094,2.90286671370268,3.40748,653109851191.3099,3127623361287.138,2664454009555.2505,2628.712047128759,12588.42014662638,10724.202584239947
30,Italy,2012,2087077032435.1492,1.43673729982365,35053.52624425724,59539717,3253.36889648438,8.95606130361557,4.08391,2998581420104.8325,8523434763532.23,18691989847857.258,50362.708645471605,143155.4463641846,313941.52995146514
31,Japan,2012,6203213121334.122,0.96742708258411,48603.47664977491,127629000,3988.27612304688,10.790653526783,3.66538,6001156372619.74,22737133310675.664,66936723545110.625,47020.319618736656,178150.21124255197,524463.2767248088
32,"Korea, Rep.",2012,1278427634342.586,2.6129823173389,25466.7605170594,50199853,2076.4794921875,6.43744543194771,4.59437,3340508802534.578,5873569570394.546,8229808134774.397,66544.19491098067,117003.72051676219,163940.88115705035
33,Mexico,2012,1201089987015.4524,0.581036957628398,10241.72791537447,117274155,973.206115722656,5.84224537014961,5.1031,697877671893.3905,6129282312738.556,7017062415774.082,5950.822428807016,52264.56172494746,59834.68749592851
34,Russian Federation,2012,2208295773643.1494,3.68596867256715,15420.8745413273,143201721,1269.75268554688,4.94897477328777,3.78973,8139709041411.087,8368844742248.652,10928800075717.945,56840.8604629206,58440.95087550416,76317.51908706423
35,Saudi Arabia,2012,735974843360.0,7.67660296778665,25243.358698402448,29155187,2034.3759765625,4.01962399482727,,5649786666753.69,,2958342139959.097,193783.24230105916,,101468.81033413016
36,South Africa,2012,396332702639.4962,1.1327931119157,7501.469983952498,52834005,965.155395507813,7.75255560874939,6.37164,448962955576.95465,2525289301445.92,3072591316778.6304,8497.613527063766,47796.6662085511,58155.56319795614
37,Turkey,2012,873982246603.5634,2.05476032101584,11707.259712100089,74653016,924.227600097656,4.47787791490555,,1795824041593.283,,3913585800085.6323,24055.61272425059,,52423.679708876494
38,United Kingdom,2012,2704887678386.7217,2.18544195437133,42462.77156814497,63700215,3151.4482421875,8.2859180867672,5.617215,5911375014208.406,15193935640349.068,22412477737018.277,92799.92248391008,238522.51739415745,351843.0469507564
39,United States,2012,16197007349000.0,4.22781807423097,51610.60527833787,313830990,8440.9951171875,16.3715332746506,4.93105,68478000418554.05,79868253088286.45,265169844763913.78,218200.24981775714,254494.47515774798,844944.7416391663
40,European Union,2013,15293564575793.174,1.445014357462747,34564.11250527423,442469471,3509.4242141132277,,5.10899,22099420388804.8,78134668482081.58,,49945.63882307894,176587.70514832102,
41,Argentina,2013,552025140252.2463,0.8377364301594361,13080.254732336658,42202935,1691.37145996094,8.37134718894959,5.43661,462451570353.1789,3001145397746.765,4621194106080.1455,10957.805905043782,71112.2436803688,109499.35368429104
42,Australia,2013,1576184467015.492,1.64953307597667,68150.10704132149,23128129,4179.10546875,8.75855982303619,5.22974,2599968412182.7124,8243034954529.599,13805105946495.6,112415.85569601036,356407.34079828067,596896.7894677343
43,Brazil,2013,2472806919901.6743,1.3294461087607001,12300.32488227575,201035903,1276.42980957031,7.97709375619888,5.83885,3287463537379.813,14438348684267.89,19725812641033.03,16352.619051233913,71819.75193887576,98120.84481761963
44,Canada,2013,1847208522155.3384,1.00485841865034,52652.5936828278,35082954,4497.21630859375,10.227344930172,5.27444,1856183034490.4448,9742990517597.004,18892038714035.914,52908.402025965224,277712.9462244543,538496.2370624753
45,China,2013,9570405758739.791,1.86694378614298,7050.645919889634,1357380000,574.695861816406,4.71002236008644,,17867409562146.246,,45076825118764.445,13163.159588432309,,33208.6999357324
46,France,2013,2811077725703.5894,2.22039695086268,42592.93409433417,65998687,4547.2861328125,11.435729265213,,6241708410790.247,,32146723814616.94,94573.22099135468,,487081.26291386585
47,Germany,2013,3732743446218.9185,1.22399371603261,46285.76406884068,80645605,4952.22607421875,10.9319098293781,4.93497,4568854521733.865,18420976924786.977,40806014770267.27,56653.48436202897,228418.8571068067,505991.7991844351
48,India,2013,1856722121394.5347,2.47272671433353,1449.605912338698,1280846129,197.282669067383,3.74944172799587,3.84467,4591166390666.289,7138483838461.925,6961671399249.682,3584.4792646957276,5573.256362991221,5435.212896872237
49,Indonesia,2013,912524136718.0182,0.9187698391830659,3623.911582351342,251806402,296.085662841797,2.9606506228447,3.35904,838399654343.0796,3065205076201.2915,2701665153735.023,3329.5406617305925,12172.863961581452,10729.136083422625
50,Italy,2013,2141315327318.207,1.4061281724513,35549.9746972954,60233948,3264.29272460938,8.95226746797562,4.16472,3010963807843.9077,8917978769988.684,19169627543428.35,49987.82095179794,148055.69062132013,318252.88196995406
51,Japan,2013,5155717056270.827,0.950865860745235,40454.44745789028,127445000,4177.4755859375,10.7915937900543,3.66538,4902395336469.85,18897662183713.965,55638404167729.3,38466.75300301973,148280.92262320188,436567.96396664676
52,"Korea, Rep.",2013,1370795199976.1792,2.6279870500825,27182.734310193548,50428893,2156.84399414063,6.57883808016777,4.59437,3602432033852.65,6297940342914.558,9018239661714.482,71435.87375302191,124887.53903272391,178830.8076029843
53,Mexico,2013,1274443084716.5676,0.614983409113092,10725.183316603581,118827161,1000.90454101563,5.94077743589878,4.69605,783761352959.5999,5984848447983.237,7571182721021.422,6595.809799407729,50365.997113936246,63715.92704315659
54,Russian Federation,2013,2292473246621.0806,3.8462327320162104,15974.6446270517,143506995,1329.74255371094,5.08820973336697,3.75621,8817385638425.47,8611010933690.568,11664584686940.76,61442.20104689302,60004.11989457774,81282.34227844267
55,Saudi Arabia,2013,746647127413.3334,8.97612773321565,24844.74437094866,30052518,2294.1875,4.46568317711353,,6701999987300.621,,3334289516129.8657,223009.5989727257,,110948.75697703153
56,South Africa,2013,366829390478.9538,1.12327426203249,6832.456890967005,53689236,988.058898925781,7.7209547162056,6.01354,412050012882.07495,2205943212820.8076,2832273112461.3037,7674.722972069763,41087.25281210572,52753.09025558314
57,Turkey,2013,950579413121.1262,1.9632531204820498,12519.391425881915,75928564,982.583618164063,4.40412349998951,,1866227999076.0466,,4186469131932.9883,24578.734283398888,,55136.945984293714
58,United Kingdom,2013,2786022872706.815,2.06502466578136,43444.53300195399,64128273,3871.45532226563,9.76576432585716,5.58823,5753205951570.615,15568936597946.404,27207642781302.3,89714.0322423873,242778.04265750933,424269.0705440064
59,United States,2013,16784849190000.002,3.8111986758535603,53117.66783083012,315993715,8647.6435546875,16.3475170731544,4.93105,63970395007329.71,82766930598349.52,274390608703846.84,202441.985301289,261925.87595721488,868341.9817506397
60,European Union,2014,15633064319173.662,1.408964268166416,35243.207371289645,443576663,3607.9938271988244,,5.12325,22026429027663.03,80092096773206.45,,49656.41988172635,180559.76216495965,
61,Argentina,2014,526319673731.6383,0.878100919364039,12334.79824538929,42669500,1640.34033203125,8.25823321938515,5.36144,462161789383.1326,2821831351531.755,4346470613626.5693,10831.19767944627,66132.28070475995,101863.6406244875
62,Australia,2014,1467483705131.736,1.78129495506829,62510.79117056414,23475686,4305.78662109375,9.03803408145905,5.16477,2614021320596.0835,7579215815753.236,13263167740966.436,111350.1569494533,322853.8589139945,564974.6610585282
63,Brazil,2014,2455993625159.3706,1.330244423168,12112.588205969725,202763735,1363.77416992188,8.39605405926704,5.94848,3267071823204.412,14609428959388.014,20620655246053.31,16112.702911121716,72051.4886914468,101697.94537496219
64,Canada,2014,1803533209844.647,0.9922705600439761,50893.44671375473,35437435,4568.3759765625,10.0556157529354,5.27444,1789592908190.4578,9512627703333.0,18135636955855.98,50500.06887322567,268434.4310848965,511764.9444960105
65,China,2014,10475682846632.158,1.90584810515868,7678.599431661004,1364270000,634.703491210938,4.77322712540627,,19965060303497.184,,50002813520697.78,14634.244177103641,,36651.69909233347
66,France,2014,2852165760630.2666,2.2303600626115,43011.2631028417,66312067,4655.37158203125,11.5711249411106,,6361356604457.698,,33002766369010.562,95930.60346705372,,497688.6992379617
67,Germany,2014,3883920155292.2583,1.1825058956846701,47959.993273759865,80982500,5186.0966796875,10.9604604542255,4.92086,4592758482001.615,19112227335371.465,42569553269450.16,56712.97480321817,236004.412501114,525663.609661966
68,India,2014,2039127446298.5498,2.49676988106994,1573.8814921105177,1295604184,205.96760559082,3.61956544220448,3.84467,5091231991581.281,7839772118960.6455,7380755236872.902,3929.6199058749576,6051.054956272545,5696.767058968453
69,Indonesia,2014,890814755233.2255,0.777855178232831,3491.6247908576693,255129004,329.483001708984,3.11712101101875,3.28801,692924870204.3763,2929007823354.3975,2776777390463.012,2715.9784240147637,11480.497228587925,10883.81699817639
70,Italy,2014,2159133919743.7651,1.28738252755904,35518.41529167488,60789140,3250.84545898438,9.01144072413445,4.07525,2779631282938.186,8799010506435.777,19456907333239.008,45725.78725308807,144746.42191739802,320072.0940161188
71,Japan,2014,4850413536037.841,0.966999334469794,38109.412112557286,127276000,4214.5380859375,10.8320496976376,3.59059,4690346661251.872,17415846338362.111,52539920476456.016,36851.776149877995,136835.27403722706,412803.0459509728
72,"Korea, Rep.",2014,1484318219633.6272,2.66076648803331,29249.575220974195,50746659,2307.58862304688,6.82147443294525,4.59437,3949424176378.4214,6819507098738.147,10125238785585.6,77826.28953717764,134383.3709079872,199525.22954438438
73,Mexico,2014,1314563967425.2397,0.659120390949835,10922.376048864655,120355128,984.433227539063,5.63038624823093,5.26062,866455916137.8901,6915421498316.565,7401502884610.962,7199.160771428785,57458.469890178385,61497.195903534426
74,Russian Federation,2014,2059241965490.8254,4.10418221281141,14095.648742954,143819666,1355.60095214844,5.18879555165768,4.01244,8451504246642.253,8262584832014.007,10684985550325.613,58764.59375619919,57451.0083482881,74294.32877646659
75,Saudi Arabia,2014,756350347333.3335,10.677906298680501,24463.903163850067,30916994,2759.84936523438,5.22795468568802,,8076238137799.786,,3954165342363.062,261223.26568358444,,127896.17717566792
76,South Africa,2014,350904575292.3168,1.1094378828450702,6433.187276628942,54545991,1038.21643066406,7.93014839291573,6.04662,389306829092.9564,2121786623054.0283,2782725353821.1426,7137.221672129056,38899.03885061009,51016.12974308492
77,Turkey,2014,934185915375.8282,1.9024577741002,12095.854571813541,77231907,1044.63256835938,4.34724800288677,,1777249257161.656,,4061137854942.519,23011.852564532117,,52583.67963052523
78,United Kingdom,2014,3063803240208.0054,1.9488069967114803,47425.60768051944,64602298,4003.54077148438,9.75668206810951,5.66499,5970761191064.665,17356414717745.95,29892554133953.26,92423.35607108999,268665.59325406584,462716.5760257207
