,Country Name,Year,GDP (current US$),Military expenditure (% of GDP),GDP per capita (current US$),"Population, total","Current health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),"Government expenditure on education, total (% of GDP)",Military expenditure (current US$),Education expenditure (current US$),Health expenditure (current US$),Military expenditure per capita,Education expenditure per capita,Health expenditure per capita
131,Japan,2017,4866864409657.679,0.930768157014813,38386.511145705685,126785797,4563.45703125,10.9359331429005,3.18618,4529922417018.063,15506706044763.102,53223703799578.29,35728.94223331706,122306.33408222454,419792.3194786423
132,"Korea, Rep.",2017,1623901496835.7908,2.5688435351741203,31616.84340046831,51361911,2980.15795898438,7.60386362671852,4.59437,4171548861906.198,7460804320017.451,12347925525163.43,81218.72377190557,145259.47681380957,240410.1655244765
133,Mexico,2017,1157736189998.1506,0.502372222667342,9278.418168337626,124777324,1035.58508300781,5.51654137670994,4.90983,581614503031.7911,5684287877738.62,6386699595439.318,4661.219558064822,45555.45587544913,51184.77773605177
134,Russian Federation,2017,1574199387070.8982,4.23340736959348,10720.3325853448,144496740,1404.21667480469,5.34457787871361,3.74303,6664227286435.4795,5892275531787.984,8413431220823.6455,46120.260473942035,40777.913271870246,58225.75111953145
135,Saudi Arabia,2017,688586133333.3334,10.2513563494886,20803.742565732384,33099147,2826.33447265625,5.23025318980217,,7058941830116.471,,3601479820320.209,213266.57844434693,,108808.84091424498
136,South Africa,2017,349554116683.81793,1.04366339589233,6132.479840972099,57000451,1097.81921386719,8.11311826109886,6.11306,364816836466.3772,2136845288535.18,2835973887309.765,6400.244736070197,37488.2172166529,49753.53418361137
137,Turkey,2017,852676779693.5393,2.06814147502603,10513.648432437794,81101892,1180.64184570313,4.21630293130875,,1763456212875.8416,,3595143605680.775,21743.712376967007,,44328.72670443712
138,United Kingdom,2017,2666229179958.0073,1.77109384285715,40361.417383215885,66058859,4338.37255859375,9.63169410824776,5.48697,4722142084269.695,14629519523554.188,25680303883839.797,71483.85781640121,221461.88633918407,388748.8260104492
139,United States,2017,19485393853000.0,3.1090104054349603,59957.725851303185,324985539,10246.138671875,17.0612692832947,4.96174,60580292242975.414,96681458096184.22,332445551617088.25,186409.19355791833,297494.64666544506,1022954.9063630436
140,European Union,2018,15931983317841.582,1.4480847837658102,35659.75714691003,446777673,4054.2744840959967,,4.80093,23070862617777.12,76488336670125.19,,51638.35171722451,171199.99787931476,
141,Argentina,2018,519871519807.795,0.8545609792373159,11683.949621636286,44494502,1916.50415039063,9.12431478500366,5.46223,444261915044.54095,2839657811639.732,4743471394484.587,9984.647430024972,63820.42014179037,106608.03427993388
142,Australia,2018,1433904348500.1162,1.8915597671394497,57395.919466316685,24982688,4816.15380859375,9.20594781637192,5.27163,2712315775549.124,7559013180683.668,13200448605960.844,108567.8120604606,302570.05093621905,528383.8394795966
143,Brazil,2018,1885482534238.327,1.47490154739588,9001.234248634986,209469333,1472.23095703125,9.46747660636902,6.24106,2780901107336.0137,11767409625133.453,17850761784618.734,13275.934321784534,56177.24301978588,85218.97467739937
144,Canada,2018,1716262621082.2183,1.2526292323636101,46313.17137129609,37057765,4928.6279296875,10.5727694928646,5.27444,2149840729580.5764,9052324219140.896,18145649081921.914,58013.232303150944,244276.04360761898,489658.4853922495
145,China,2018,13894817110036.277,1.8659366006581202,9976.676821807729,1392730000,841.114929199219,5.15119321644306,,25926847805067.375,,71574887640935.83,18615.846434748568,,51391.78996714067
146,France,2018,2787863958885.4883,2.2939427993291304,41631.09073890442,66965912,5011.20068359375,11.3128922879696,,6395200453994.568,,31538804680384.04,95499.34082872744,,470968.0453599144
147,Germany,2018,3949548833952.9385,1.2337687568881202,47639.00344071224,82905782,5922.63818359375,11.2468346953392,4.80093,4872829955135.041,18961507483389.68,44419922856638.39,58775.51405443641,228711.52078861857,535787.996748386
148,India,2018,2713165057513.3467,2.41903434166523,2005.8630045240309,1352617328,253.322418212891,3.53495962917805,3.84467,6563239448730.904,10431224301669.838,9590928945606.223,4852.251492619429,7711.8813176034055,7090.644742654238
149,Indonesia,2018,1042240309412.5823,0.716442832780161,3893.8464247557094,267663435,367.94140625,2.98905447125435,3.5836,746705599713.2219,3734972372810.93,3115313056971.1963,2789.7183629628826,13953.988047754563,11638.919066293818
150,Italy,2018,2085764300862.273,1.3327023072539,34520.08516240297,60421760,3619.69799804688,8.84025916457176,3.82926,2779702896146.9688,7986933806719.867,18438696975834.32,46004.99714253555,132186.38130898317,305166.4992187305
151,Japan,2018,4954806619995.188,0.9238395357382819,39159.423563395205,126529100,4563.45703125,10.9359331429005,3.18618,4577446247489.32,15786905756496.27,54185433932268.19,36177.023684585765,124768.97216921854,428244.8380038125
152,"Korea, Rep.",2018,1720578827805.543,2.61734363736466,33340.26515168201,51606633,2980.15795898438,7.60386362671852,4.59437,4503346047541.183,7904975749104.952,13083046765652.557,87262.93086280562,153177.51400493327,253514.8294920259
153,Mexico,2018,1220699479845.9802,0.5388838656804921,9673.443673606193,126190788,1035.58508300781,5.51654137670994,4.90983,657815254533.5677,5993426927132.189,6734039189098.651,5212.862721275405,47494.963951981896,53363.95228072156
154,Russian Federation,2018,1669583089322.9568,3.92951108949691,11370.8134559314,144477860,1404.21667480469,5.34457787871361,3.74303,6560645264331.069,6249299590828.507,8923216845869.803,45409.34690153266,43254.375382003214,61761.82873881024
155,Saudi Arabia,2018,786521831573.3333,8.77471912659104,23338.963458112656,33699947,2826.33447265625,5.23025318980217,,6901508158987.943,,4113708318435.471,204792.84905071047,,122068.68807347
156,South Africa,2018,368288939768.32227,0.981709721430103,6374.028195759437,57779622,1097.81921386719,8.11311826109886,6.15899,361552832465.7476,2268287897143.699,2987971722595.1133,6257.445444446618,39257.57591740041,51713.2445517749
157,Turkey,2018,771350331372.7113,2.5043566085399998,9370.176354973097,82319724,1180.64184570313,4.21630293130875,,1931736299872.7683,,3252246663232.7383,23466.26307776212,,39507.502032353004
158,United Kingdom,2018,2860667727551.9727,1.78220538089607,43043.227816455066,66460344,4338.37255859375,9.63169410824776,5.48697,5098297416998.858,15696398001045.848,27553076497116.844,76711.87222562161,236176.89973205447,414579.20375971636
159,United States,2018,20529049174601.5,3.16286487973421,62840.02023879542,326687501,10246.138671875,17.0612692832947,4.96174,64930608648683.66,101859804451587.25,350251636097874.94,198754.49305507302,311795.84201964084,1072130.5070617774
160,European Union,2019,15592795166700.186,1.4480847837658102,34843.297471632024,447512041,4054.2744840959967,,4.80093,22579689417275.61,74859918099665.92,,50456.04888489606,167280.23213048233,
161,Argentina,2019,449663446954.07275,0.8545609792373159,10006.14897360816,44938712,1916.50415039063,9.12431478500366,5.46223,384264835556.29926,2456165169855.945,4102870837318.7554,8550.864465281053,54655.8871081117,91299.25302084215
162,Australia,2019,1392680589329.1375,1.8915597671394497,54907.101910142366,25364307,4816.15380859375,9.20594781637192,5.27163,2634338571251.0547,7341696775125.161,12820944830238.13,103860.06490345093,289449.92564256385,505471.9149329856
163,Brazil,2019,1839758040765.623,1.47490154739588,8717.186278108185,211049527,1472.23095703125,9.46747660636902,6.24106,2713461981159.23,11482040317900.7,17417866212327.838,12856.991530519896,54404.482592849876,82529.75716135028
164,Canada,2019,1736425629519.9573,1.2526292323636101,46194.725225516726,37589262,4928.6279296875,10.5727694928646,5.27444,2175097503362.0825,9158672797365.244,18358827922416.812,57864.86319848691,243651.30651847445,488406.18159560603
165,China,2019,14342902842915.87,1.8659366006581202,10261.679128374431,1397715000,841.114929199219,5.15119321644306,,26762947374280.125,,73883063828530.11,19147.642669843368,,52859.89191539771
166,France,2019,2715518274227.447,2.2939427993291304,40493.92857204556,67059887,5011.20068359375,11.3128922879696,,6229243591610.719,,30720365742348.2,92890.75586439206,,458103.4522522861
167,Germany,2019,3845630030823.5234,1.2337687568881202,46258.878289705164,83132799,5922.63818359375,11.2468346953392,4.80093,4744618182580.762,18462600583881.58,43251165256104.36,57072.75876252839,222085.6365473942,520265.95731612935
168,India,2019,2875142314811.8477,2.41903434166523,2104.1459000333275,1366417754,253.322418212891,3.53495962917805,3.84467,6955067996704.723,11053973403487.666,10163512011001.408,5090.001192054712,8089.7466174811325,7438.070810518324
169,Indonesia,2019,1119190780752.796,0.716442832780161,4135.569262815537,270625568,367.94140625,2.98905447125435,3.5836,801836213383.9731,4010732081905.7197,3345322207395.7915,2962.898957810125,14820.226010225759,12361.441796200836
170,Italy,2019,2001244392041.5654,1.3327023072539,33189.56579885416,60297396,3619.69799804688,8.84025916457176,3.82926,2667063018652.7227,7663285100669.085,17691519077293.29,44231.81091688806,127091.47673092027,293404.3632214779
171,Japan,2019,5081769542379.769,0.9238395357382819,40246.88012841641,126264931,4563.45703125,10.9359331429005,3.18618,4694739614761.066,16191432480539.57,55573891963093.22,37181.659052750496,128233.80452755778,440137.1902946925
172,"Korea, Rep.",2019,1642383217167.264,2.61734363736466,31761.977692344663,51709098,2980.15795898438,7.60386362671852,4.59437,4298681263567.2393,7545716181456.762,12488458006151.102,83132.01022317658,145926.27745037753,241513.7468874646
173,Mexico,2019,1258286717124.5251,0.5388838656804921,9863.0726988757,127575529,1035.58508300781,5.51654137670994,4.90983,678070410258.48,6177973872339.508,6941390738781.959,5315.050743457861,48426.01022912088,54410.04864484598
174,Russian Federation,2019,1699876578871.353,3.92951108949691,11584.9953826104,144373535,1404.21667480469,5.34457787871361,3.74303,6679683867451.051,6362689031012.841,9085122759979.203,46266.67808231647,44071.02057183015,62927.89575304922
175,Saudi Arabia,2019,792966838161.6586,8.77471912659104,23139.7986561214,34268528,2826.33447265625,5.23025318980217,,6958061281569.526,,4147417334702.3555,203045.23385333407,,121027.00573255892
176,South Africa,2019,351431649241.43854,0.981709721430103,6001.400813948884,58558270,1097.81921386719,8.11311826109886,6.15899,345003866478.5343,2164464013361.5276,2851206530988.804,5891.633521252153,36962.56759910304,48690.074535822256
177,Turkey,2019,754411708202.6156,2.5043566085399998,9042.492982888818,83429615,1180.64184570313,4.21630293130875,,1889315946997.1704,,3180828296708.3296,22645.627059374187,,38125.889670092925
178,United Kingdom,2019,2827113184695.5757,1.78220538089607,42300.26712582503,66834405,4338.37255859375,9.63169410824776,5.48697,5038496330166.68,15512285231029.084,27229889404381.938,75387.7636849865,232100.29671138816,407423.2336531153
179,United States,2019,21374418877706.7,3.16286487973421,65118.35833281631,328239523,10246.138671875,17.0612692832947,4.96174,67604398793026.42,106054309122272.44,364674716246491.7,205960.56859681223,323100.363274268,1111001.8468022563
